Os,Ir
EUV001_Os_18p12keV_0,EUV029_Ir_18p12keV_8
EUV002_Os_18p12keV_0,EUV073_Ir_7p41keV_0
EUV002_Os_18p12keV_1,EUV089_Ir_18p12keV_0
EUV020_Os_18p12keV_5,EUV089_Ir_18p12keV_1
EUV026_Os_18p12keV_0,EUV089_Ir_18p12keV_2
EUV038_Os_18p12keV_5,EUV090_Ir_18p12keV_0
EUV050_Os_18p12keV_0,EUV090_Ir_18p12keV_1
EUV050_Os_18p12keV_1,EUV090_Ir_18p12keV_2
EUV050_Os_18p12keV_2,EUV090_Ir_18p12keV_3
EUV050_Os_18p12keV_3,EUV090_Ir_18p12keV_4
EUV050_Os_18p12keV_4,EUV090_Ir_18p12keV_5
EUV050_Os_18p12keV_5,EUV096_Ir_18p12keV_0
EUV050_Os_18p12keV_6,EUV096_Ir_18p12keV_1
EUV077_Os_18p12keV_0,EUV096_Ir_18p12keV_2
EUV077_Os_18p12keV_1,EUV097_Ir_18p12keV_0
EUV079_Os_16p09keV_0,EUV097_Ir_18p12keV_1
EUV080_Os_12p02keV_0,nan
EUV080_Os_12p02keV_1,nan
EUV080_Os_12p02keV_2,nan
EUV081_Os_7p2keV_0,nan
EUV084_Os_18p12keV_0,nan
EUV084_Os_18p12keV_1,nan
EUV084_Os_18p12keV_2,nan
EUV084_Os_18p12keV_4,nan
EUV084_Os_18p12keV_5,nan
EUV084_Os_18p12keV_6,nan
EUV084_Os_18p12keV_7,nan
EUV093_Os_18p12keV_0,nan
EUV093_Os_18p12keV_1,nan
EUV093_Os_18p12keV_2,nan
EUV093_Os_18p12keV_3,nan
EUV093_Os_18p12keV_4,nan
EUV093_Os_18p12keV_5,nan
EUV093_Os_18p12keV_6,nan
EUV093_Os_18p12keV_7,nan
EUV093_Os_18p12keV_8,nan
